Restaurant ID,Restaurant Name,City,Address,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes,cleaned_restaurant_name,cleaned_cuisines,cleaned_city,cleaned_locality
6317637,Le Petit Souffle,Makati City,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","Century City Mall, Poblacion, Makati City",121.027535,14.565443,"French, Japanese, Desserts",1100,Botswana Pula(P),Yes,No,No,3,4.8,Dark Green,Excellent,314.0,le petit souffle,french japanese dessert,makati city,century city mall poblacion makati city
6304287,Izakaya Kikufuji,Makati City,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City",121.014101,14.553708,Japanese,1200,Botswana Pula(P),Yes,No,No,3,4.5,Dark Green,Excellent,591.0,izakaya kikufuji,japanese,makati city,little tokyo legaspi village makati city
6300002,Heat - Edsa Shangri-La,Mandaluyong City,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City",121.056831,14.581404,"Seafood, Asian, Filipino, Indian",4000,Botswana Pula(P),Yes,No,No,4,4.4,Green,Very Good,270.0,heat edsa shangrila,seafood asian filipino indian,mandaluyong city,edsa shangrila ortigas mandaluyong city
6318506,Ooma,Mandaluyong City,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City",121.056475,14.585318,"Japanese, Sushi",1500,Botswana Pula(P),No,No,No,4,4.9,Dark Green,Excellent,365.0,ooma,japanese sushi,mandaluyong city,sm megamall ortigas mandaluyong city
6314302,Sambo Kojin,Mandaluyong City,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City",121.057508,14.58445,"Japanese, Korean",1500,Botswana Pula(P),Yes,No,No,4,4.8,Dark Green,Excellent,229.0,sambo kojin,japanese korean,mandaluyong city,sm megamall ortigas mandaluyong city
18189371,Din Tai Fung,Mandaluyong City,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City",121.056314,14.583764,Chinese,1000,Botswana Pula(P),No,No,No,3,4.4,Green,Very Good,336.0,din tai fung,chinese,mandaluyong city,sm megamall ortigas mandaluyong city
6300781,Buffet 101,Pasay City,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City",120.9796667,14.53133333,"Asian, European",2000,Botswana Pula(P),Yes,No,No,4,4.0,Green,Very Good,520.0,buffet,asian european,pasay city,sm bay mall asia complex pasay city
6301290,Vikings,Pasay City,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City",120.9793333,14.54,"Seafood, Filipino, Asian, European",2000,Botswana Pula(P),Yes,No,No,4,4.2,Green,Very Good,677.0,viking,seafood filipino asian european,pasay city,sm bay mall asia complex pasay city
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, Pasay City",120.98009,14.55299,"European, Asian, Indian",6000,Botswana Pula(P),Yes,No,No,4,4.9,Dark Green,Excellent,621.0,spiral sofitel philippine plaza manila,european asian indian,pasay city,sofitel philippine plaza manila pasay city
6314987,Locavore,Pasig City,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Kapitolyo,121.056532,14.572041,Filipino,1100,Botswana Pula(P),Yes,No,No,3,4.8,Dark Green,Excellent,532.0,locavore,filipino,pasig city,kapitolyo
6309903,Silantro Fil-Mex,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,121.057916,14.567689,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,3,4.9,Dark Green,Excellent,1070.0,silantro filmex,filipino mexican,pasig city,kapitolyo
